,id,title,link,sources,date,coord
57,EONET_6715,"Spring Gulch Wildfire, Yavapai, Arizona",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6715,https://irwin.doi.gov/observer/,2024-06-12,"[-112.028999, 34.457199]"
58,EONET_6716,"Pine Creek Wildfire, Lincoln, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6716,https://irwin.doi.gov/observer/,2024-06-12,"[-115.982966, 48.596518]"
59,EONET_6717,"VALENTINE Wildfire, Mono, California",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6717,https://irwin.doi.gov/observer/,2024-06-12,"[-118.925314, 37.633773]"
60,EONET_6720,"Elk Haven Wildfire, Lincoln, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6720,https://irwin.doi.gov/observer/,2024-06-11,"[-115.62767, 48.949077]"
61,EONET_6721,"RABBIT CREEK Wildfire, Okanogan, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6721,https://irwin.doi.gov/observer/,2024-06-11,"[-119.688449, 48.821597]"
62,EONET_6723,"Spring Wildfire, Powder River, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6723,https://irwin.doi.gov/observer/,2024-06-11,"[-105.90575, 45.148167]"
63,EONET_6725,"PHILLEO Wildfire, Stevens, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6725,https://irwin.doi.gov/observer/,2024-06-11,"[-117.860452, 48.408251]"
64,EONET_6731,"Round Lake Wildfire, Klamath, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6731,https://irwin.doi.gov/observer/,2024-06-11,"[-121.914897, 42.20675]"
65,EONET_6733,"Waddle Wildfire, Elko, Nevada",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6733,https://irwin.doi.gov/observer/,2024-06-11,"[-115.82652, 41.03323]"
66,EONET_6734,"Shute Wildfire, Lincoln, Wyoming",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6734,https://irwin.doi.gov/observer/,2024-06-11,"[-110.4532, 42.26215]"
67,EONET_6736,"0221 NE DARLENE 2 Wildfire, Deschutes, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6736,https://irwin.doi.gov/observer/,2024-06-11,"[-121.476282, 43.652785]"
68,EONET_6737,"Sego Wildfire, Dolores, Colorado",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6737,https://irwin.doi.gov/observer/,2024-06-11,"[-108.913133, 37.639667]"
69,EONET_6739,"Stuart 3 Wildfire, Fairbanks North Star, Alaska",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6739,https://irwin.doi.gov/observer/,2024-06-11,"[-146.561998, 66.683013]"
70,EONET_6740,"Cold Spring Ln Wildfire, Columbia, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6740,https://irwin.doi.gov/observer/,2024-06-11,"[-118.022489, 46.302211]"
71,EONET_6743,"Cedar City Assist 01 Wildfire, Iron, Utah",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6743,https://irwin.doi.gov/observer/,2024-06-11,"[-113.185101, 37.674879]"
72,EONET_6747,"MPMG Wildfire, Fairbanks North Star, Alaska",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6747,https://irwin.doi.gov/observer/,2024-06-11,"[-147.656117, 64.810283]"
73,EONET_6748,"Longs Ranch Wildfire, Douglas, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6748,https://irwin.doi.gov/observer/,2024-06-11,"[-123.5338685, 43.32234447]"
74,EONET_6678,Wildfire in China 1019836,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6678,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019836,2024-06-11,"[112.13231659287177, 36.031661543156666]"
75,EONET_6690,Wildfire in Russian Federation 1019848,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6690,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019848,2024-06-11,"[128.66495544704927, 53.27742275722371]"
76,EONET_6691,Wildfire in Russian Federation 1019849,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6691,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019849,2024-06-11,"[136.2825117087701, 62.769134900333306]"
77,EONET_6692,Wildfire in Brazil 1019850,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6692,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019850,2024-06-11,"[-56.33117041317782, -19.780401642890286]"
78,EONET_6696,Wildfire in Australia 1019854,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6696,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019854,2024-06-11,"[130.26648020718562, -14.282982474581985]"
79,EONET_8143,"Wildfire in Botswana, Namibia 1019859",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8143,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019859,2024-06-11,"[22.948394283062314, -18.067359525469087]"
80,EONET_6750,"South Devils Corral Wildfire, Jerome, Idaho",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6750,https://irwin.doi.gov/observer/,2024-06-11,"[-114.369453, 42.600086]"
81,EONET_6752,"Lakeshore Dr. Wildfire, Josephine, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6752,https://irwin.doi.gov/observer/,2024-06-11,"[-123.5792797, 42.26686509]"
82,EONET_6753,"QUAKE Wildfire, Benton, Washington",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6753,https://irwin.doi.gov/observer/,2024-06-11,"[-119.267871, 46.193834]"
83,EONET_6755,"Cat Tail Creek Wildfire, Jackson, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6755,https://irwin.doi.gov/observer/,2024-06-11,"[-122.6538, 42.56046667]"
84,EONET_6756,"Deviation Wildfire, Northwest Arctic, Alaska",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6756,https://irwin.doi.gov/observer/,2024-06-11,"[-160.695648, 66.928278]"
85,EONET_6757,"Gyer Wildfire, Lake, Oregon",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6757,https://irwin.doi.gov/observer/,2024-06-11,"[-121.183538, 42.913761]"
