,date,impact_energy(kt),velocity(km/s),altitude,coord
125,2020-11-07,0.33,16.7,22.3,"(('59.8', 'N'), ('16.8', 'E'))"
126,2020-10-26,0.34,17.6,28.5,"(('5.9', 'S'), ('160.4', 'E'))"
127,2020-10-23,0.25,N/A,48.0,"(('30.0', 'N'), ('71.9', 'W'))"
128,2020-10-22,0.15,17.6,40.0,"(('22.0', 'N'), ('133.5', 'W'))"
129,2020-10-21,0.079,N/A,N/A,"(('12.9', 'N'), ('150.2', 'W'))"
130,2020-10-21,0.095,N/A,39,"(('29.7', 'S'), ('93.9', 'W'))"
131,2020-10-19,0.076,N/A,40.7,"(('48.6', 'N'), ('93.9', 'E'))"
132,2020-10-18,0.12,16.4,36.0,"(('11.4', 'S'), ('135.8', 'W'))"
133,2020-09-18,0.14,11.7,46.0,"(('2.4', 'N'), ('169.7', 'W'))"
134,2020-08-30,0.2,23.4,27.8,"(('26.0', 'N'), ('133.5', 'E'))"
135,2020-08-02,0.23,11.1,38.0,"(('35.1', 'S'), ('34.2', 'W'))"
136,2020-07-22,0.079,N/A,36.0,"(('20.0', 'S'), ('103.8', 'W'))"
137,2020-07-20,0.16,14.1,31.6,"(('51.8', 'S'), ('11.2', 'W'))"
138,2020-07-12,0.23,18.3,29.4,"(('48.7', 'S'), ('74.0', 'E'))"
139,2020-05-27,0.18,14.9,29.3,"(('40.8', 'N'), ('41.7', 'E'))"
140,2020-05-18,0.46,N/A,25,"(('38.7', 'S'), ('77.2', 'E'))"
141,2020-05-12,0.26,N/A,N/A,"(('15.9', 'N'), ('174.2', 'E'))"
142,2020-05-09,0.14,N/A,52.5,"(('7.2', 'N'), ('44.2', 'W'))"
143,2020-05-09,0.14,14.5,31.2,"(('44.8', 'N'), ('131.0', 'W'))"
144,2020-04-28,0.076,N/A,N/A,"(('20.1', 'N'), ('109.4', 'W'))"
145,2020-04-18,0.095,N/A,N/A,"(('12.5', 'N'), ('49.8', 'W'))"
146,2020-04-14,0.073,N/A,N/A,"(('65.6', 'S'), ('45.6', 'W'))"
147,2020-03-26,0.37,20.7,26.5,"(('38.3', 'S'), ('23.5', 'E'))"
148,2020-03-23,0.39,N/A,25,"(('24.4', 'S'), ('67.9', 'W'))"
149,2020-03-22,0.089,N/A,N/A,"((None, None), (None, None))"
150,2020-03-04,1,19.8,24.3,"(('53.3', 'S'), ('90.8', 'E'))"
151,2020-02-28,0.34,21.5,34.5,"(('45.7', 'N'), ('15.1', 'E'))"
152,2020-02-24,0.073,N/A,N/A,"(('3.6', 'N'), ('96.0', 'W'))"
153,2020-02-10,0.095,31.7,41.7,"(('28.2', 'N'), ('76.7', 'E'))"
154,2020-01-27,0.15,19.8,32.5,"(('30.4', 'N'), ('1.5', 'E'))"
155,2020-01-24,0.092,21.2,32.0,"(('28.0', 'N'), ('35.8', 'W'))"
156,2020-01-21,0.098,27.4,43.3,"(('33.1', 'N'), ('34.3', 'E'))"
157,2020-01-17,0.29,15.5,14.5,"(('19.4', 'N'), ('66.0', 'W'))"
