,date,impact_energy(kt),velocity(km/s),altitude,coord
619,2006-08-17,0.7,N/A,48.2,"(('11.0', 'S'), ('165.7', 'E'))"
620,2006-08-15,0.16,N/A,32.7,"(('4.9', 'N'), ('49.6', 'E'))"
621,2006-08-09,2.4,N/A,37.0,"(('23.1', 'S'), ('53.7', 'E'))"
622,2006-07-15,0.26,12.4,29.6,"(('78.3', 'S'), ('5.0', 'W'))"
623,2006-07-15,0.47,30.2,38.9,"(('31.1', 'N'), ('45.6', 'E'))"
624,2006-06-07,0.19,19.6,40.7,"(('69.2', 'N'), ('22.5', 'E'))"
625,2006-05-28,0.092,N/A,N/A,"((None, None), (None, None))"
626,2006-05-21,0.71,N/A,N/A,"(('11.6', 'S'), ('25.5', 'W'))"
627,2006-05-07,0.1,N/A,N/A,"((None, None), (None, None))"
628,2006-05-06,0.38,N/A,35.2,"(('60.2', 'S'), ('152.3', 'W'))"
629,2006-04-25,0.073,N/A,N/A,"((None, None), (None, None))"
630,2006-04-08,0.37,N/A,33.3,"(('17.3', 'N'), ('113.2', 'W'))"
631,2006-04-04,5,N/A,25.0,"(('26.6', 'N'), ('26.6', 'W'))"
632,2006-03-14,0.42,N/A,35.2,"(('7.0', 'N'), ('64.6', 'W'))"
633,2006-02-26,0.22,N/A,N/A,"((None, None), (None, None))"
634,2006-02-06,2.7,N/A,35.2,"(('54.5', 'S'), ('18.1', 'E'))"
635,2006-02-04,0.3,19.8,38.9,"(('36.9', 'N'), ('143.6', 'W'))"
636,2006-01-28,1.8,18.7,37.0,"(('51.7', 'S'), ('56.4', 'E'))"
637,2006-01-27,0.15,N/A,20.0,"(('58.7', 'N'), ('74.7', 'E'))"
638,2006-01-26,0.17,N/A,37.0,"(('79.8', 'S'), ('111.0', 'W'))"
639,2006-01-10,0.098,16.9,32.4,"(('29.8', 'N'), ('12.7', 'W'))"
640,2006-01-08,0.29,N/A,N/A,"(('7.6', 'N'), ('28.2', 'W'))"
641,2005-12-29,0.53,20.7,42.2,"(('3.0', 'S'), ('154.9', 'W'))"
642,2005-12-24,0.51,N/A,66.0,"(('54.0', 'S'), ('17.3', 'E'))"
643,2005-12-03,0.27,17.0,32.2,"(('33.8', 'S'), ('117.4', 'E'))"
644,2005-12-01,0.11,N/A,N/A,"(('6.4', 'S'), ('155.8', 'W'))"
645,2005-11-29,0.11,N/A,59.3,"(('7.6', 'N'), ('58.2', 'W'))"
646,2005-11-15,0.089,N/A,32.4,"(('26.3', 'N'), ('113.4', 'W'))"
647,2005-11-11,0.14,N/A,29.6,"(('21.4', 'N'), ('134.1', 'W'))"
648,2005-11-09,0.23,13.8,30.7,"(('31.0', 'S'), ('145.9', 'E'))"
649,2005-11-02,0.11,N/A,68.5,"(('33.9', 'N'), ('154.9', 'W'))"
650,2005-11-02,0.21,N/A,74.0,"(('22.9', 'N'), ('123.8', 'W'))"
651,2005-10-26,0.4,N/A,16.7,"(('36.3', 'S'), ('80.5', 'W'))"
652,2005-09-30,0.079,N/A,53.0,"(('2.8', 'S'), ('84.1', 'W'))"
653,2005-09-14,0.089,N/A,33.3,"(('11.6', 'N'), ('27.3', 'E'))"
654,2005-09-02,0.25,N/A,N/A,"(('13.5', 'N'), ('73.1', 'E'))"
655,2005-08-20,0.095,N/A,N/A,"((None, None), (None, None))"
656,2005-08-09,0.089,16.9,37.0,"(('21.5', 'S'), ('56.2', 'E'))"
657,2005-07-01,0.11,N/A,50.0,"(('49.8', 'S'), ('33.1', 'E'))"
658,2005-06-18,0.082,N/A,N/A,"(('47.9', 'N'), ('85.6', 'E'))"
659,2005-06-05,0.14,N/A,N/A,"(('34.8', 'N'), ('90.9', 'E'))"
660,2005-06-03,0.25,26.2,29.6,"(('31.0', 'S'), ('90.3', 'W'))"
661,2005-05-27,0.073,N/A,50.5,"(('48.9', 'S'), ('145.1', 'E'))"
662,2005-05-14,0.38,N/A,N/A,"((None, None), (None, None))"
663,2005-05-07,0.092,16.6,15.2,"(('75.8', 'S'), ('163.7', 'E'))"
664,2005-05-02,0.15,N/A,N/A,"(('17.7', 'N'), ('36.0', 'E'))"
665,2005-04-22,0.079,N/A,37.0,"(('20.9', 'N'), ('36.7', 'W'))"
666,2005-04-19,0.64,16.8,38.5,"(('50.2', 'S'), ('146.4', 'W'))"
667,2005-04-16,0.073,N/A,N/A,"((None, None), (None, None))"
668,2005-04-15,0.076,N/A,39.0,"(('43.8', 'S'), ('73.9', 'W'))"
669,2005-04-14,0.22,N/A,26.5,"(('4.9', 'N'), ('176.0', 'W'))"
670,2005-04-11,0.32,N/A,37.0,"(('34.2', 'S'), ('95.7', 'W'))"
671,2005-04-06,0.1,N/A,70.0,"(('42.7', 'S'), ('154.6', 'E'))"
672,2005-04-05,0.12,N/A,N/A,"((None, None), (None, None))"
673,2005-04-03,0.61,N/A,59.2,"(('1.0', 'S'), ('112.4', 'E'))"
674,2005-04-02,0.57,N/A,27.2,"(('14.1', 'N'), ('169.7', 'E'))"
675,2005-03-31,0.13,N/A,N/A,"(('42.8', 'N'), ('36.2', 'W'))"
676,2005-03-18,0.095,N/A,33.0,"(('9.7', 'S'), ('34.7', 'W'))"
677,2005-03-12,0.079,N/A,N/A,"((None, None), (None, None))"
678,2005-03-09,0.17,N/A,44.4,"(('21.4', 'S'), ('157.9', 'W'))"
679,2005-03-09,0.13,N/A,30.7,"(('14.3', 'N'), ('142.7', 'E'))"
680,2005-03-06,0.18,N/A,N/A,"((None, None), (None, None))"
681,2005-02-22,0.14,N/A,N/A,"((None, None), (None, None))"
682,2005-02-17,0.3,N/A,42.5,"(('48.0', 'N'), ('161.5', 'W'))"
683,2005-01-19,0.41,N/A,40.7,"(('27.5', 'S'), ('164.9', 'W'))"
684,2005-01-02,0.35,21.5,35.2,"(('21.3', 'S'), ('154.7', 'E'))"
685,2005-01-01,1.2,N/A,31.8,"(('32.7', 'N'), ('12.4', 'E'))"
686,2004-12-29,0.28,N/A,N/A,"(('8.5', 'S'), ('171.8', 'E'))"
687,2004-12-13,0.13,N/A,N/A,"(('9.7', 'S'), ('155.3', 'E'))"
688,2004-12-11,0.1,N/A,N/A,"(('36.0', 'N'), ('104.1', 'E'))"
689,2004-11-30,0.51,N/A,N/A,"(('61.0', 'N'), ('171.0', 'W'))"
690,2004-11-17,0.52,N/A,N/A,"((None, None), (None, None))"
691,2004-10-14,0.28,N/A,N/A,"((None, None), (None, None))"
692,2004-10-10,0.1,N/A,N/A,"((None, None), (None, None))"
693,2004-10-07,18,19.2,35.0,"(('27.3', 'S'), ('71.5', 'E'))"
694,2004-10-04,0.22,N/A,N/A,"(('3.7', 'N'), ('150.9', 'W'))"
695,2004-09-28,0.2,N/A,N/A,"(('0.2', 'N'), ('101.1', 'W'))"
696,2004-09-03,13,N/A,31.5,"(('67.7', 'S'), ('18.2', 'E'))"
697,2004-08-22,3.2,N/A,37.0,"(('51.9', 'S'), ('22.7', 'E'))"
698,2004-07-29,0.089,N/A,N/A,"((None, None), (None, None))"
699,2004-07-25,0.55,N/A,N/A,"((None, None), (None, None))"
700,2004-07-22,0.12,N/A,N/A,"((None, None), (None, None))"
701,2004-07-16,0.1,N/A,N/A,"((None, None), (None, None))"
702,2004-07-04,0.25,N/A,N/A,"((None, None), (None, None))"
703,2004-07-03,0.21,N/A,N/A,"((None, None), (None, None))"
704,2004-06-12,0.31,N/A,N/A,"(('21.7', 'N'), ('175.3', 'E'))"
705,2004-06-11,0.31,N/A,N/A,"((None, None), (None, None))"
706,2004-06-05,3.9,19.5,43.0,"(('1.3', 'N'), ('174.4', 'W'))"
707,2004-06-04,0.89,N/A,N/A,"((None, None), (None, None))"
708,2004-06-03,0.16,N/A,N/A,"((None, None), (None, None))"
709,2004-06-03,0.18,N/A,N/A,"(('48.9', 'N'), ('120.4', 'W'))"
710,2004-05-18,1,N/A,N/A,"(('28.1', 'S'), ('47.4', 'W'))"
711,2004-05-17,0.18,N/A,44.0,"(('18.9', 'S'), ('28.3', 'E'))"
712,2004-05-06,0.16,N/A,N/A,"((None, None), (None, None))"
713,2004-04-23,0.18,N/A,N/A,"((None, None), (None, None))"
714,2004-04-22,0.41,N/A,N/A,"(('15.2', 'S'), ('55.1', 'E'))"
715,2004-04-22,1.5,16.3,29.6,"(('44.3', 'S'), ('83.3', 'E'))"
716,2004-04-06,1.1,25.6,35.0,"(('12.0', 'S'), ('162.8', 'E'))"
717,2004-03-26,0.086,N/A,46.0,"(('7.6', 'S'), ('155.1', 'E'))"
718,2004-03-25,0.076,N/A,N/A,"(('4.8', 'S'), ('21.0', 'E'))"
719,2004-02-27,0.19,N/A,N/A,"((None, None), (None, None))"
720,2004-02-02,0.1,N/A,N/A,"(('18.3', 'S'), ('52.3', 'E'))"
721,2004-01-22,0.64,N/A,37.0,"(('50.6', 'S'), ('157.8', 'E'))"
722,2004-01-17,0.098,N/A,N/A,"((None, None), (None, None))"
723,2004-01-16,0.3,N/A,N/A,"((None, None), (None, None))"
724,2004-01-02,0.39,N/A,63.0,"(('28.2', 'S'), ('3.2', 'E'))"
725,2003-12-09,1.6,N/A,N/A,"(('67.1', 'S'), ('90.8', 'W'))"
726,2003-11-26,0.12,N/A,32.0,"(('22.9', 'S'), ('22.7', 'E'))"
727,2003-11-10,1.3,20.1,23.0,"(('64.5', 'S'), ('136.2', 'E'))"
728,2003-11-01,0.23,N/A,N/A,"(('51.4', 'S'), ('151.7', 'E'))"
729,2003-10-16,0.77,N/A,N/A,"((None, None), (None, None))"
730,2003-10-13,0.1,N/A,N/A,"((None, None), (None, None))"
731,2003-10-07,0.13,N/A,N/A,"((None, None), (None, None))"
732,2003-09-27,4.6,18.2,26.0,"(('21.0', 'N'), ('86.6', 'E'))"
733,2003-09-22,0.11,N/A,N/A,"((None, None), (None, None))"
734,2003-09-21,0.073,N/A,N/A,"((None, None), (None, None))"
735,2003-09-20,0.1,N/A,N/A,"((None, None), (None, None))"
736,2003-09-02,1,N/A,N/A,"(('51.3', 'N'), ('161.0', 'W'))"
737,2003-08-26,0.23,N/A,N/A,"((None, None), (None, None))"
738,2003-08-26,0.68,N/A,N/A,"((None, None), (None, None))"
739,2003-08-17,1.6,N/A,N/A,"(('39.0', 'S'), ('34.0', 'E'))"
740,2003-08-01,0.076,N/A,N/A,"((None, None), (None, None))"
741,2003-07-21,0.19,N/A,N/A,"((None, None), (None, None))"
742,2003-06-22,0.076,N/A,N/A,"((None, None), (None, None))"
743,2003-06-21,0.13,N/A,N/A,"((None, None), (None, None))"
744,2003-06-16,0.21,N/A,N/A,"((None, None), (None, None))"
745,2003-06-10,0.11,N/A,N/A,"(('41.8', 'S'), ('122.9', 'E'))"
746,2003-05-27,0.22,N/A,N/A,"(('5.2', 'N'), ('166.2', 'E'))"
747,2003-05-19,1.3,N/A,N/A,"((None, None), (None, None))"
748,2003-05-18,0.076,N/A,N/A,"((None, None), (None, None))"
749,2003-05-15,0.14,N/A,N/A,"(('54.0', 'N'), ('80.4', 'W'))"
750,2003-04-28,0.082,N/A,N/A,"((None, None), (None, None))"
751,2003-04-13,0.5,N/A,17.0,"(('14.8', 'N'), ('64.5', 'E'))"
752,2003-04-07,0.079,N/A,N/A,"(('18.4', 'S'), ('162.6', 'E'))"
753,2003-04-01,0.11,N/A,N/A,"((None, None), (None, None))"
754,2003-03-27,0.41,N/A,45.0,"(('41.4', 'N'), ('87.7', 'W'))"
755,2003-02-25,0.11,N/A,N/A,"(('40.0', 'N'), ('116.0', 'E'))"
756,2003-02-12,0.25,N/A,N/A,"((None, None), (None, None))"
757,2003-02-12,0.36,N/A,N/A,"(('31.5', 'S'), ('107.5', 'E'))"
758,2003-02-06,0.55,N/A,N/A,"(('62.9', 'S'), ('113.9', 'W'))"
759,2003-02-05,0.31,N/A,N/A,"((None, None), (None, None))"
760,2003-02-04,0.4,N/A,N/A,"(('59.9', 'S'), ('41.0', 'E'))"
761,2003-01-30,0.32,N/A,N/A,"((None, None), (None, None))"
762,2002-11-28,0.15,N/A,N/A,"((None, None), (None, None))"
763,2002-11-21,0.66,N/A,N/A,"(('1.4', 'S'), ('154.0', 'W'))"
764,2002-11-12,0.14,N/A,N/A,"(('21.1', 'S'), ('6.8', 'W'))"
765,2002-11-10,1.2,N/A,N/A,"(('16.0', 'N'), ('166.0', 'W'))"
766,2002-10-09,0.16,N/A,N/A,"(('4.3', 'S'), ('175.9', 'W'))"
767,2002-10-04,0.35,N/A,N/A,"((None, None), (None, None))"
768,2002-09-24,2,N/A,N/A,"(('57.9', 'N'), ('112.9', 'E'))"
769,2002-08-14,0.28,N/A,N/A,"(('6.9', 'S'), ('126.2', 'W'))"
770,2002-08-11,3.3,N/A,N/A,"(('18.2', 'S'), ('159.4', 'E'))"
771,2002-08-10,0.089,N/A,N/A,"((None, None), (None, None))"
772,2002-07-25,0.63,N/A,N/A,"(('28.7', 'S'), ('47.0', 'E'))"
773,2002-07-22,0.17,N/A,N/A,"(('34.0', 'N'), ('106.1', 'E'))"
774,2002-06-29,0.46,N/A,N/A,"((None, None), (None, None))"
775,2002-06-15,0.1,N/A,N/A,"((None, None), (None, None))"
776,2002-06-13,0.54,N/A,N/A,"(('24.9', 'S'), ('111.4', 'E'))"
777,2002-06-02,8.8,N/A,N/A,"(('34.0', 'N'), ('21.0', 'E'))"
778,2002-04-03,0.51,N/A,N/A,"(('5.3', 'S'), ('27.1', 'E'))"
779,2002-04-02,0.11,N/A,N/A,"((None, None), (None, None))"
780,2002-03-28,0.095,N/A,N/A,"((None, None), (None, None))"
781,2002-03-19,0.26,N/A,N/A,"((None, None), (None, None))"
782,2002-03-19,0.17,N/A,N/A,"((None, None), (None, None))"
783,2002-03-18,0.073,N/A,N/A,"(('60.4', 'S'), ('120.5', 'W'))"
784,2002-03-09,0.68,N/A,N/A,"(('6.9', 'N'), ('147.3', 'W'))"
785,2002-03-03,0.25,N/A,N/A,"(('37.5', 'N'), ('154.0', 'E'))"
786,2002-03-01,0.13,N/A,N/A,"(('29.2', 'N'), ('66.8', 'W'))"
787,2002-02-09,0.22,N/A,N/A,"(('17.7', 'S'), ('138.7', 'E'))"
788,2002-02-01,0.22,N/A,N/A,"(('60.7', 'N'), ('116.6', 'E'))"
789,2002-01-20,0.31,N/A,N/A,"(('48.4', 'N'), ('165.0', 'W'))"
790,2002-01-03,0.36,N/A,N/A,"((None, None), (None, None))"
791,2001-12-14,0.44,N/A,N/A,"((None, None), (None, None))"
792,2001-12-12,0.3,N/A,N/A,"((None, None), (None, None))"
793,2001-11-26,0.54,N/A,N/A,"((None, None), (None, None))"
794,2001-11-13,0.83,N/A,N/A,"((None, None), (None, None))"
795,2001-11-11,0.38,N/A,N/A,"((None, None), (None, None))"
796,2001-10-27,0.12,N/A,N/A,"(('52.7', 'N'), ('3.8', 'E'))"
797,2001-10-14,0.27,N/A,N/A,"((None, None), (None, None))"
798,2001-10-12,0.2,N/A,N/A,"((None, None), (None, None))"
799,2001-10-06,0.45,N/A,N/A,"((None, None), (None, None))"
800,2001-09-25,0.14,N/A,N/A,"((None, None), (None, None))"
801,2001-08-26,0.13,N/A,N/A,"((None, None), (None, None))"
802,2001-08-18,0.13,N/A,N/A,"((None, None), (None, None))"
803,2001-07-26,0.86,N/A,N/A,"(('0.4', 'N'), ('84.8', 'E'))"
804,2001-07-23,2.8,N/A,N/A,"(('41.0', 'N'), ('77.0', 'W'))"
805,2001-05-06,0.16,N/A,N/A,"((None, None), (None, None))"
806,2001-04-27,0.38,N/A,N/A,"((None, None), (None, None))"
807,2001-04-23,9,N/A,29,"(('28.0', 'N'), ('133.6', 'W'))"
808,2001-04-14,0.086,N/A,N/A,"((None, None), (None, None))"
809,2001-04-13,0.68,N/A,N/A,"(('15.3', 'S'), ('162.4', 'E'))"
810,2001-02-09,0.32,N/A,N/A,"((None, None), (None, None))"
811,2001-02-04,0.44,N/A,N/A,"(('64.0', 'S'), ('97.3', 'E'))"
812,2001-01-28,0.32,N/A,N/A,"(('66.0', 'N'), ('31.3', 'E'))"
813,2000-12-15,0.71,N/A,N/A,"(('41.3', 'N'), ('95.2', 'E'))"
814,2000-12-15,0.095,N/A,N/A,"(('50.4', 'N'), ('58.9', 'E'))"
815,2000-11-28,0.35,N/A,N/A,"((None, None), (None, None))"
816,2000-11-13,0.21,N/A,N/A,"(('13.6', 'S'), ('5.8', 'W'))"
817,2000-11-06,0.22,N/A,N/A,"(('52.0', 'S'), ('22.2', 'W'))"
818,2000-10-11,0.25,N/A,N/A,"(('31.7', 'S'), ('5.5', 'W'))"
819,2000-09-24,0.095,N/A,N/A,"((None, None), (None, None))"
820,2000-09-23,0.079,N/A,N/A,"(('58.5', 'S'), ('142.6', 'E'))"
821,2000-09-19,0.27,N/A,N/A,"(('3.2', 'S'), ('133.8', 'W'))"
822,2000-08-25,3.1,N/A,N/A,"(('14.5', 'N'), ('106.1', 'W'))"
823,2000-08-13,0.21,N/A,N/A,"(('36.7', 'N'), ('127.8', 'W'))"
824,2000-08-01,0.51,N/A,N/A,"(('50.2', 'S'), ('101.9', 'W'))"
825,2000-07-31,0.13,N/A,N/A,"(('15.7', 'N'), ('138.5', 'W'))"
826,2000-07-19,0.32,N/A,N/A,"(('17.7', 'S'), ('94.1', 'E'))"
827,2000-07-15,0.076,N/A,N/A,"(('46.6', 'S'), ('163.3', 'E'))"
828,2000-07-09,0.36,N/A,N/A,"((None, None), (None, None))"
829,2000-07-07,0.21,N/A,N/A,"(('15.0', 'N'), ('140.7', 'E'))"
830,2000-06-27,0.095,N/A,N/A,"(('34.9', 'N'), ('36.8', 'E'))"
831,2000-06-23,0.073,N/A,N/A,"(('69.2', 'N'), ('44.0', 'W'))"
832,2000-06-22,0.1,N/A,N/A,"(('32.9', 'N'), ('159.0', 'E'))"
833,2000-06-18,0.39,N/A,N/A,"((None, None), (None, None))"
834,2000-06-14,0.42,N/A,48,"(('28.1', 'N'), ('107.3', 'E'))"
835,2000-06-04,0.53,N/A,N/A,"((None, None), (None, None))"
836,2000-06-03,0.1,N/A,N/A,"(('36.8', 'N'), ('74.8', 'W'))"
837,2000-06-02,0.1,N/A,N/A,"(('27.5', 'S'), ('18.9', 'W'))"
838,2000-05-29,0.19,N/A,N/A,"((None, None), (None, None))"
839,2000-05-06,0.098,N/A,N/A,"(('49.9', 'N'), ('18.4', 'E'))"
840,2000-05-03,0.19,N/A,N/A,"(('5.0', 'S'), ('73.0', 'E'))"
841,2000-04-21,0.27,N/A,N/A,"((None, None), (None, None))"
842,2000-04-04,0.082,N/A,N/A,"((None, None), (None, None))"
843,2000-03-28,0.2,N/A,N/A,"(('1.0', 'N'), ('98.3', 'E'))"
844,2000-03-19,0.16,N/A,N/A,"((None, None), (None, None))"
845,2000-03-06,2.2,N/A,N/A,"(('58.0', 'N'), ('175.0', 'E'))"
846,2000-02-18,7.3,N/A,N/A,"(('0.9', 'S'), ('109.2', 'E'))"
847,2000-02-17,0.079,N/A,N/A,"(('14.2', 'N'), ('115.9', 'E'))"
848,2000-01-18,2.4,N/A,N/A,"(('60.3', 'N'), ('134.6', 'W'))"
849,2000-01-18,0.12,N/A,N/A,"(('24.3', 'N'), ('94.9', 'W'))"
850,1999-12-16,0.21,N/A,N/A,"(('26.5', 'S'), ('11.3', 'W'))"
851,1999-12-11,0.74,N/A,N/A,"((None, None), (None, None))"
852,1999-12-10,0.098,N/A,N/A,"((None, None), (None, None))"
853,1999-12-03,0.14,N/A,N/A,"((None, None), (None, None))"
854,1999-12-01,0.082,N/A,N/A,"((None, None), (None, None))"
855,1999-11-30,0.15,N/A,N/A,"((None, None), (None, None))"
856,1999-11-15,0.23,N/A,N/A,"(('8.1', 'S'), ('75.4', 'E'))"
857,1999-11-07,0.27,N/A,N/A,"(('2.3', 'S'), ('77.4', 'W'))"
858,1999-10-26,0.27,N/A,N/A,"(('13.7', 'N'), ('70.8', 'W'))"
859,1999-09-08,0.098,N/A,N/A,"(('22.4', 'N'), ('0.2', 'E'))"
860,1999-09-08,0.28,N/A,32,"(('32.5', 'N'), ('104.6', 'E'))"
861,1999-08-16,0.12,N/A,N/A,"(('35.0', 'N'), ('107.2', 'W'))"
862,1999-08-06,0.22,N/A,N/A,"((None, None), (None, None))"
863,1999-08-03,0.93,N/A,N/A,"(('64.7', 'S'), ('18.8', 'W'))"
864,1999-07-10,0.86,N/A,52,"(('37.8', 'S'), ('39.6', 'E'))"
865,1999-07-07,0.41,N/A,N/A,"(('39.5', 'S'), ('174.4', 'E'))"
866,1999-06-25,0.37,N/A,69.0,"(('50.0', 'N'), ('121.0', 'E'))"
867,1999-05-23,0.092,N/A,N/A,"(('16.4', 'S'), ('116.3', 'W'))"
868,1999-04-26,0.28,N/A,N/A,"(('22.5', 'S'), ('6.5', 'E'))"
869,1999-04-26,0.11,N/A,N/A,"(('32.8', 'S'), ('159.1', 'E'))"
870,1999-03-31,0.64,N/A,N/A,"(('17.9', 'S'), ('22.6', 'E'))"
871,1999-03-28,0.81,N/A,N/A,"(('0.8', 'N'), ('97.6', 'E'))"
872,1999-03-02,0.19,N/A,N/A,"(('18.9', 'N'), ('50.5', 'E'))"
873,1999-02-18,0.44,N/A,N/A,"(('54.9', 'S'), ('64.6', 'W'))"
874,1999-02-01,0.098,N/A,N/A,"(('80.0', 'N'), ('154.2', 'E'))"
875,1999-01-19,0.086,N/A,N/A,"(('7.9', 'N'), ('85.8', 'E'))"
876,1999-01-14,9.8,N/A,32.0,"(('44.0', 'S'), ('129.7', 'W'))"
877,1999-01-12,0.14,N/A,N/A,"((None, None), (None, None))"
878,1999-01-11,0.086,N/A,N/A,"((None, None), (None, None))"
879,1999-01-02,0.12,N/A,65.0,"(('47.0', 'N'), ('103.0', 'E'))"
880,1998-12-22,0.095,N/A,N/A,"((None, None), (None, None))"
881,1998-11-23,0.089,N/A,N/A,"(('82.3', 'N'), ('160.1', 'E'))"
882,1998-11-11,1.6,N/A,N/A,"(('6.5', 'N'), ('156.4', 'E'))"
883,1998-10-03,0.11,N/A,N/A,"((None, None), (None, None))"
884,1998-09-04,0.38,N/A,N/A,"((None, None), (None, None))"
885,1998-09-01,0.086,N/A,N/A,"(('34.6', 'N'), ('23.6', 'E'))"
886,1998-08-30,0.14,N/A,N/A,"((None, None), (None, None))"
887,1998-08-08,0.082,N/A,N/A,"((None, None), (None, None))"
888,1998-07-28,0.2,N/A,N/A,"((None, None), (None, None))"
889,1998-03-24,0.095,N/A,N/A,"((None, None), (None, None))"
890,1998-03-22,0.41,N/A,N/A,"(('1.4', 'N'), ('26.6', 'E'))"
891,1998-01-08,0.2,N/A,N/A,"((None, None), (None, None))"
892,1998-01-04,0.23,17.1,30.0,"(('35.1', 'S'), ('33.4', 'E'))"
893,1997-12-28,0.11,N/A,N/A,"(('23.1', 'S'), ('152.4', 'E'))"
894,1997-12-09,0.73,N/A,N/A,"(('62.7', 'N'), ('49.9', 'W'))"
895,1997-11-07,1.9,N/A,N/A,"(('57.3', 'S'), ('167.2', 'E'))"
896,1997-10-09,0.53,N/A,37.0,"(('31.8', 'N'), ('106.0', 'W'))"
897,1997-10-01,0.2,N/A,N/A,"(('46.7', 'N'), ('108.9', 'E'))"
898,1997-09-30,0.082,N/A,N/A,"(('38.1', 'S'), ('63.9', 'E'))"
899,1997-09-05,0.53,N/A,N/A,"(('31.1', 'S'), ('56.4', 'E'))"
900,1997-08-20,0.092,N/A,N/A,"((None, None), (None, None))"
901,1997-08-15,0.079,N/A,N/A,"((None, None), (None, None))"
902,1997-07-30,0.16,N/A,N/A,"((None, None), (None, None))"
903,1997-07-04,0.095,N/A,N/A,"(('15.8', 'S'), ('175.8', 'W'))"
904,1997-05-22,0.15,N/A,N/A,"((None, None), (None, None))"
905,1997-04-27,0.86,N/A,N/A,"(('16.7', 'N'), ('87.5', 'E'))"
906,1997-02-19,0.41,N/A,N/A,"(('16.3', 'S'), ('87.7', 'W'))"
907,1997-02-15,0.43,N/A,N/A,"(('35.5', 'N'), ('115.6', 'E'))"
908,1997-02-06,0.092,N/A,N/A,"((None, None), (None, None))"
909,1997-01-28,0.086,N/A,N/A,"((None, None), (None, None))"
910,1997-01-23,0.73,N/A,N/A,"(('15.0', 'S'), ('94.2', 'E'))"
911,1997-01-22,1.2,N/A,N/A,"(('32.2', 'N'), ('29.0', 'E'))"
912,1997-01-04,0.14,N/A,N/A,"(('25.7', 'N'), ('5.3', 'W'))"
913,1997-01-03,0.92,N/A,N/A,"((None, None), (None, None))"
914,1996-12-17,0.14,N/A,N/A,"(('34.1', 'N'), ('37.2', 'W'))"
915,1996-12-10,0.68,N/A,N/A,"((None, None), (None, None))"
916,1996-12-04,0.16,N/A,N/A,"((None, None), (None, None))"
917,1996-12-01,0.2,N/A,N/A,"((None, None), (None, None))"
918,1996-11-22,0.22,N/A,N/A,"((None, None), (None, None))"
919,1996-11-08,0.2,N/A,N/A,"((None, None), (None, None))"
920,1996-10-30,0.076,N/A,N/A,"(('2.1', 'S'), ('123.1', 'W'))"
921,1996-10-28,0.14,N/A,N/A,"(('27.4', 'N'), ('79.4', 'W'))"
922,1996-10-23,0.15,N/A,N/A,"(('47.3', 'S'), ('20.6', 'E'))"
923,1996-10-19,0.38,N/A,N/A,"(('29.7', 'N'), ('34.7', 'W'))"
924,1996-10-07,0.15,N/A,N/A,"((None, None), (None, None))"
925,1996-10-05,0.68,N/A,N/A,"(('49.6', 'S'), ('145.9', 'E'))"
926,1996-08-17,0.12,N/A,N/A,"((None, None), (None, None))"
927,1996-08-15,0.26,N/A,N/A,"((None, None), (None, None))"
928,1996-08-09,0.1,N/A,N/A,"((None, None), (None, None))"
929,1996-08-07,0.43,N/A,N/A,"((None, None), (None, None))"
930,1996-08-06,0.38,N/A,N/A,"((None, None), (None, None))"
931,1996-08-05,0.61,N/A,N/A,"((None, None), (None, None))"
932,1996-08-05,0.25,N/A,N/A,"((None, None), (None, None))"
933,1996-07-17,0.16,N/A,N/A,"(('31.8', 'N'), ('111.4', 'E'))"
934,1996-07-12,0.11,N/A,N/A,"(('20.7', 'N'), ('93.6', 'W'))"
935,1996-06-25,0.076,N/A,N/A,"((None, None), (None, None))"
936,1996-05-08,0.098,N/A,N/A,"((None, None), (None, None))"
937,1996-05-01,0.12,N/A,N/A,"((None, None), (None, None))"
938,1996-03-31,0.095,N/A,N/A,"((None, None), (None, None))"
939,1996-03-30,0.36,N/A,N/A,"(('31.1', 'S'), ('84.3', 'W'))"
940,1996-03-29,0.38,N/A,N/A,"(('21.5', 'N'), ('158.1', 'W'))"
941,1996-03-25,0.15,N/A,N/A,"((None, None), (None, None))"
942,1996-03-13,0.63,N/A,N/A,"((None, None), (None, None))"
943,1996-02-16,0.18,N/A,N/A,"((None, None), (None, None))"
944,1996-02-15,0.16,N/A,N/A,"(('76.0', 'N'), ('127.0', 'W'))"
945,1996-01-18,0.36,N/A,N/A,"((None, None), (None, None))"
946,1996-01-15,0.71,N/A,N/A,"(('59.8', 'S'), ('175.8', 'E'))"
947,1995-12-27,0.079,N/A,N/A,"((None, None), (None, None))"
948,1995-12-22,1.1,N/A,N/A,"(('70.2', 'S'), ('73.3', 'W'))"
949,1995-12-09,0.36,N/A,N/A,"(('2.9', 'S'), ('79.0', 'W'))"
950,1995-11-25,0.1,N/A,N/A,"((None, None), (None, None))"
951,1995-11-13,0.076,N/A,N/A,"((None, None), (None, None))"
952,1995-10-01,0.12,N/A,N/A,"((None, None), (None, None))"
953,1995-09-09,1.3,N/A,N/A,"((None, None), (None, None))"
954,1995-08-24,0.36,N/A,N/A,"((None, None), (None, None))"
955,1995-08-17,0.46,N/A,N/A,"((None, None), (None, None))"
956,1995-08-06,0.18,N/A,N/A,"((None, None), (None, None))"
957,1995-08-05,0.56,N/A,N/A,"(('11.6', 'N'), ('104.3', 'W'))"
