Asteroid ID,Name,Est diameter (km),Potentially hazardous?,Closest approach date,Approach velocity (kps),How much did the asteroid miss us by? (km),For more info on this asteroid: 
2438661,438661 (2008 EP6),0.61,True,2024-01-10,10.71,23088209.21,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438661
3409964,(2008 JG),0.29,True,2024-01-10,7.79,13409422.8,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3409964
3448069,(2009 DT10),0.12,False,2024-01-10,11.9,25388607.54,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3448069
3659804,(2014 BA33),0.18,False,2024-01-10,19.71,74479707.24,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3659804
3739155,(2016 AE2),0.02,False,2024-01-10,14.47,33643285.78,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3739155
3740044,(2016 AJ165),0.04,False,2024-01-10,25.25,59178001.98,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3740044
3743125,(2016 CB138),0.08,False,2024-01-10,15.35,48328254.29,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3743125
3797688,(2018 AE12),0.15,False,2024-01-10,31.97,32226765.25,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3797688
3797905,(2018 BM5),0.01,False,2024-01-10,7.95,11259952.5,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3797905
3843174,(2019 NO3),0.54,False,2024-01-10,28.0,25617121.22,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843174
54106537,(2021 BV1),0.01,False,2024-01-10,27.01,29761104.9,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54106537
54226110,(2021 XM),0.02,False,2024-01-10,12.27,26152848.11,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54226110
54244190,(2022 BA7),0.0,False,2024-01-10,7.72,9330198.69,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54244190
54245585,(2022 CV2),0.11,False,2024-01-10,8.79,17987088.96,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54245585
54247545,(2016 FH60),0.1,False,2024-01-10,8.79,17988048.65,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54247545
2613986,613986 (2008 JG),0.3,True,2024-01-10,7.79,13409432.87,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2613986
54416856,(2023 XY13),0.55,False,2024-01-10,40.73,54304107.55,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416856
54416962,(2023 XT14),0.03,False,2024-01-10,6.37,4656579.26,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416962
54417533,(2023 XM16),0.11,False,2024-01-10,16.91,10528582.69,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54417533
54418267,(2023 YO1),0.03,False,2024-01-10,3.07,2606923.87,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54418267
54419482,(2024 AN1),0.02,False,2024-01-10,7.94,1549637.57,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419482
54419489,(2024 AU1),0.06,False,2024-01-10,18.15,7020037.73,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419489
54419703,(2024 AY2),0.02,False,2024-01-10,8.39,3199834.88,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419703
54420283,(2024 AC4),0.02,False,2024-01-10,8.99,2430806.36,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420283
54420443,(2024 AF4),0.03,False,2024-01-10,6.32,7105603.71,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420443
